,온도,압력,유량,전압,전류,이상여부,배치번호,공정단계,장비ID
2025-04-03 17:54:43.644677,160.65571384337076,101.83225906097667,48.3747028750427,222.64064147374202,9.80608439917251,0,1,3,EQ-B
2025-04-03 18:54:43.644677,158.59352464962993,101.0682589649549,49.2863383755744,226.1864556176022,9.947519701186847,1,1,1,EQ-A
2025-04-03 19:54:43.644677,161.26772128108044,99.6537636935727,48.23367987537247,227.730074376006,10.091774119711314,1,1,4,EQ-C
2025-04-03 20:54:43.644677,164.23977592124544,98.50327690376673,49.06823565054429,235.45530192435268,10.303588877634837,1,1,5,EQ-A
2025-04-03 21:54:43.644677,158.43659347589738,100.7722578851769,46.45252791756461,231.07228180675438,10.13304550903529,1,1,2,EQ-C
2025-04-03 22:54:43.644677,158.49053642706033,100.29130545081505,49.990985987400364,224.8193877198913,10.595644193152436,1,1,3,EQ-B
2025-04-03 23:54:43.644677,164.58866581932972,101.15430025053209,49.664320676089574,230.9447440656972,10.18216588311479,1,1,3,EQ-A
2025-04-04 00:54:43.644677,161.9360598882648,100.74759173168083,48.32715767709722,224.22026416129387,10.663916447493788,1,1,4,EQ-C
2025-04-04 01:54:43.644677,157.86599065367767,101.46470716226264,50.81419541745109,233.03987545308442,10.823499623264452,1,1,1,EQ-C
2025-04-04 02:54:43.644677,161.2919896354593,98.84966939248542,51.30434497446396,227.9130406507798,11.14639394552051,1,1,5,EQ-C
2025-04-04 03:54:43.644677,157.99082114629326,101.96343017055794,47.08850695388577,229.2234261598709,11.18054914822955,1,1,4,EQ-A
2025-04-04 04:54:43.644677,158.03469512761228,100.1228964942439,48.52235585547955,234.0064497979871,9.74509587299961,0,1,2,EQ-A
2025-04-04 05:54:43.644677,160.44469058726122,103.27784296206266,48.5371709247084,225.34760445342692,9.817741963132551,0,1,2,EQ-A
2025-04-04 06:54:43.644677,153.31096362730653,98.69563585793365,48.277777052901506,225.03150382578923,10.017541557066195,0,1,2,EQ-B
2025-04-04 07:54:43.644677,153.98859794027197,102.76243502959979,51.25162009421063,227.7929929608287,9.973738312121679,0,1,4,EQ-C
2025-04-04 08:54:43.644677,157.91308950996822,100.22354194282349,49.57064707243108,233.24864411083587,9.892848378765951,0,1,5,EQ-C
2025-04-04 09:54:43.644677,140.45958585392071,98.83214812149365,49.47698672533337,224.77120267011264,9.911645514499776,1,1,3,EQ-B
2025-04-04 10:54:43.644677,144.93069430982473,99.13512521049637,46.601830993242324,220.44268454080526,10.110188159585238,1,1,1,EQ-B
2025-04-04 11:54:43.644677,140.9031301896943,99.4310263737253,51.02396860439788,228.426014246735,9.910211759926714,1,1,3,EQ-A
2025-04-04 12:54:43.644677,139.2679881306178,100.69477681153758,47.92240290944526,231.81480313477184,9.984101482748594,1,1,5,EQ-A
2025-04-04 13:54:43.644677,148.9060258784466,130.800570279409,50.11015270813124,234.0214024811708,10.362682597115493,1,1,3,EQ-A
2025-04-04 14:54:43.644677,159.31183559753137,99.07604495967894,50.49450652950689,228.52055205886847,9.765940723810337,0,1,4,EQ-A
2025-04-04 15:54:43.644677,160.33239957759233,100.01306179388132,52.321417107380704,228.7358835382459,9.69672482283585,0,1,2,EQ-A
2025-04-04 16:54:43.644677,155.39997582505097,103.6450188205677,47.89320089101606,233.995472226615,10.13805509975456,0,1,5,EQ-A
2025-04-04 17:54:43.644677,158.3752674504371,102.97417688292836,45.06241800639246,223.95740419986961,9.896386649727035,0,1,5,EQ-B
2025-04-04 18:54:43.644677,160.59922948056044,100.84194987355383,50.42115966535327,228.93441826425087,9.958434787785942,0,1,3,EQ-B
2025-04-04 19:54:43.644677,156.43128694584803,100.19730523224153,53.134818071145936,230.90267850367258,9.883203880507601,1,1,4,EQ-B
2025-04-04 20:54:43.644677,161.55750129062753,100.35263949260141,52.21749786963669,231.8025703004254,10.10529203801251,1,1,3,EQ-C
2025-04-04 21:54:43.644677,158.33905077749125,101.19311982649432,50.52002223073467,228.64182409991767,10.550148672543754,1,1,3,EQ-C
2025-04-04 22:54:43.644677,159.40360162360562,98.4833027861276,49.36856341873819,230.49071749526937,10.552483782582181,1,1,5,EQ-A
2025-04-04 23:54:43.644677,158.40365662486332,99.77571177044175,51.54987699387617,222.114920820918,10.697504518595895,1,1,3,EQ-B
2025-04-05 00:54:43.644677,166.6157029080964,97.43974769007066,48.59814414702586,228.24728091862045,10.45270093868789,1,1,2,EQ-C
2025-04-05 01:54:43.644677,160.42718449653066,100.90145949383735,51.030017238422246,231.98387095417198,10.631749806190712,1,1,3,EQ-C
2025-04-05 02:54:43.644677,156.97581268277847,101.32941778915364,51.09320815492677,227.22720233178254,10.485229345717334,1,1,2,EQ-B
2025-04-05 03:54:43.644677,163.27125323380062,99.4594076595627,52.031734942559794,230.72605093208864,10.95824170615904,1,1,5,EQ-C
2025-04-05 04:54:43.644677,156.48643402466382,102.90126770110034,54.8773898271354,232.0454878605762,11.387246173959303,1,1,4,EQ-C
2025-04-05 05:54:43.644677,161.27713155472557,98.24751701401763,50.94448639765281,229.4390889018505,10.11520373119355,0,1,2,EQ-B
2025-04-05 06:54:43.644677,154.07220050594194,97.86159232575423,49.45394441659143,231.1726468221964,9.993302835451706,0,1,4,EQ-C
2025-04-05 07:54:43.644677,156.19914879779566,100.68730417799516,50.27059396007522,227.41732707650837,10.027605067419845,0,1,4,EQ-B
2025-04-05 08:54:43.644677,161.30310804019098,80.24175233250901,47.37499211883176,229.95819965497375,9.91753093893546,1,1,2,EQ-C
2025-04-05 09:54:43.644677,163.12737613787007,103.13945658803912,49.17505521712759,232.69987476984943,10.067417523961232,0,1,5,EQ-B
2025-04-05 10:54:43.644677,161.25439735675252,99.5767777716114,49.659447479537796,231.20641295601405,10.161804867552734,0,1,1,EQ-C
2025-04-05 11:54:43.644677,160.3134411148502,102.14726908379099,49.475987031514514,228.7438311575979,9.765632304905472,0,1,4,EQ-C
